
Init Node at: | June/24|13:56:01+++++++++++++++++++++++
----------------------------------------
Data at time: June/24|14:13:56 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:13:56 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 671.0 0.0 False True False 1
Data at time: June/24|14:13:57 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 691.0 0.0 False True False 1
Data at time: June/24|14:13:57 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 662.0 0.0 False True False 1
Data at time: June/24|14:13:57 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 630.0 0.0 False True False 1
Data at time: June/24|14:13:57 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 660.0 0.0 False True False 1
Data at time: June/24|14:13:58 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 660.0 0.0 False True False 1
Data at time: June/24|14:13:58 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 677.0 0.0 False True False 1
Data at time: June/24|14:13:58 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 681.0 0.0 False True False 1
Data at time: June/24|14:13:58 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 635.0 0.0 False True False 1
Data at time: June/24|14:13:59 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 716.0 0.0 False True False 1
Data at time: June/24|14:13:59 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 671.0 0.0 False True False 1
Data at time: June/24|14:13:59 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 691.0 0.0 False True False 1
Data at time: June/24|14:13:59 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 716.0 0.0 False True False 1
Data at time: June/24|14:14:00 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 645.0 0.0 False True False 1
Data at time: June/24|14:14:00 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.0 0.0 649.0 0.0 False True False 1
Data at time: June/24|14:14:00 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.1 0.0 734.0 0.0 False True False 1
Data at time: June/24|14:14:00 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 667.0 0.0 False True False 1
Data at time: June/24|14:14:01 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 708.0 0.0 False True False 1
Data at time: June/24|14:14:01 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.9 0.0 727.0 0.0 False True False 1
Data at time: June/24|14:14:01 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 664.0 0.0 False True False 1
Data at time: June/24|14:14:01 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:14:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 650.0 0.0 False True False 1
Data at time: June/24|14:14:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 680.0 0.0 False True False 1
Data at time: June/24|14:14:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.5 0.0 674.0 0.0 False True False 1
Data at time: June/24|14:14:02 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:14:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 692.0 0.0 False True False 1
Data at time: June/24|14:14:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 695.0 0.0 False True False 1
Data at time: June/24|14:14:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 704.0 0.0 False True False 1
Data at time: June/24|14:14:03 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 28.8 0.0 629.0 0.0 False True False 1
Data at time: June/24|14:14:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.4 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:14:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.3 0.0 651.0 0.0 False True False 1
Data at time: June/24|14:14:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:14:04 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 631.0 0.0 False True False 1
Data at time: June/24|14:14:05 | vol | volA | char | charA | Breset | Bpower | EMC | CANstt | 29.2 0.0 662.0 0.0 False True False 1
